Region;Subregion;Country/Territory;;;;;;
ASIA;South-West Asia;Pakistan;;;;;;
ASIA;Near and Middle East;Bahrain;;;;;;
ASIA;Near and Middle East;Israel;;;;;;
ASIA;Near and Middle East;Jordan;;;;;;
ASIA;Near and Middle East;Kuwait;;;;;;
ASIA;Near and Middle East;Lebanon;;;;;;
ASIA;Near and Middle East;State of Palestine;;;;;;
ASIA;Near and Middle East;Oman;;;;;;
ASIA;Near and Middle East;Saudi Arabia;;;;;;
ASIA;Near and Middle East;Syrian Arab Republic;;;;;;
ASIA;Near and Middle East;Iraq;;;;;;
ASIA;Near and Middle East;Qatar;;;;;;
ASIA;Near and Middle East;United Arab Emirates;;;;;;
ASIA;Near and Middle East;Yemen;;;;;;
ASIA;South Asia;Bangladesh;;;;;;
ASIA;South Asia;India;;;;;;
ASIA;South Asia;Maldives;;;;;;
ASIA;South Asia;Nepal;;;;;;
ASIA;South Asia;Sri Lanka;;;;;;
ASIA;South Asia;Bhutan;;;;;;
EUROPE;Eastern Europe;Belarus;;;;;;
EUROPE;Eastern Europe;Republic of Moldova;;;;;;
EUROPE;Eastern Europe;Russian Federation;;;;;;
EUROPE;Eastern Europe;Ukraine;;;;;;
EUROPE;South-Eastern Europe;Albania;;;;;;
EUROPE;South-Eastern Europe;Bosnia and Herzegovina;;;;;;
EUROPE;South-Eastern Europe;Bulgaria;;;;;;
EUROPE;South-Eastern Europe;Croatia;;;;;;
EUROPE;South-Eastern Europe;North Macedonia;;;;;;
EUROPE;South-Eastern Europe;Montenegro;;;;;;
EUROPE;South-Eastern Europe;Romania;;;;;;
EUROPE;South-Eastern Europe;Serbia;;;;;;
EUROPE;South-Eastern Europe;Turkey;;;;;;
EUROPE;Western and Central Europe;Austria;;;;;;
EUROPE;Western and Central Europe;Belgium;;;;;;
EUROPE;Western and Central Europe;Cyprus;;;;;;
EUROPE;Western and Central Europe;Czechia;;;;;;
EUROPE;Western and Central Europe;Denmark;;;;;;
EUROPE;Western and Central Europe;Estonia;;;;;;
EUROPE;Western and Central Europe;Finland;;;;;;
EUROPE;Western and Central Europe;France;;;;;;
EUROPE;Western and Central Europe;Germany;;;;;;
EUROPE;Western and Central Europe;Greece;;;;;;
EUROPE;Western and Central Europe;Hungary;;;;;;
EUROPE;Western and Central Europe;Iceland;;;;;;
EUROPE;Western and Central Europe;Ireland;;;;;;
EUROPE;Western and Central Europe;Italy;;;;;;
EUROPE;Western and Central Europe;Latvia;;;;;;
EUROPE;Western and Central Europe;Lithuania;;;;;;
EUROPE;Western and Central Europe;Luxembourg;;;;;;
EUROPE;Western and Central Europe;Malta;;;;;;
EUROPE;Western and Central Europe;Netherlands;;;;;;
EUROPE;Western and Central Europe;Norway;;;;;;
EUROPE;Western and Central Europe;Poland;;;;;;
EUROPE;Western and Central Europe;Portugal;;;;;;
EUROPE;Western and Central Europe;Slovakia;;;;;;
EUROPE;Western and Central Europe;Slovenia;;;;;;
EUROPE;Western and Central Europe;Spain;;;;;;
EUROPE;Western and Central Europe;Sweden;;;;;;
EUROPE;Western and Central Europe;Switzerland;;;;;;
EUROPE;Western and Central Europe;United Kingdom (England, Wales and Northern Ireland);;;;;;
EUROPE;Western and Central Europe;United Kingdom (Scotland);;;;;;
EUROPE;Western and Central Europe;Andorra;;;;;;
EUROPE;Western and Central Europe;Channel Islands;;;;;;
EUROPE;Western and Central Europe;Faroe Islands;;;;;;
EUROPE;Western and Central Europe;Gibraltar;;;;;;
EUROPE;Western and Central Europe;Holy See;;;;;;
EUROPE;Western and Central Europe;Isle of Man;;;;;;
EUROPE;Western and Central Europe;Liechtenstein;;;;;;
EUROPE;Western and Central Europe;Monaco;;;;;;
EUROPE;Western and Central Europe;San Marino;;;;;;
OCEANIA;Oceania;Australia;;;;;;
OCEANIA;Oceania;New Zealand;;;;;;
OCEANIA;Oceania;American Samoa;;;;;;
OCEANIA;Oceania;Cook Islands;;;;;;
OCEANIA;Oceania;Fiji;;;;;;
OCEANIA;Oceania;French Polynesia;;;;;;
OCEANIA;Oceania;Guam;;;;;;
OCEANIA;Oceania;Kiribati;;;;;;
OCEANIA;Oceania;Marshall Islands;;;;;;
OCEANIA;Oceania;Micronesia (Federated States of);;;;;;
OCEANIA;Oceania;Nauru;;;;;;
OCEANIA;Oceania;New Caledonia;;;;;;
OCEANIA;Oceania;Niue;;;;;;
OCEANIA;Oceania;Northern Mariana Islands;;;;;;
OCEANIA;Oceania;Palau;;;;;;
OCEANIA;Oceania;Papua New Guinea;;;;;;
OCEANIA;Oceania;Samoa;;;;;;
OCEANIA;Oceania;Solomon Islands;;;;;;
OCEANIA;Oceania;Tokelau;;;;;;
OCEANIA;Oceania;Tonga;;;;;;
OCEANIA;Oceania;Tuvalu;;;;;;
OCEANIA;Oceania;Vanuatu;;;;;;
OCEANIA;Oceania;Wallis and Futuna Islands;;;;;;
