;;;;;;;;;;;;;
Problem drug use  >  Overall (ex PDU)  >  All years  >  Geo-coverage  >  National;;;;;;;;;;;;;
;;;;;;;;;;;;;
Country;Year;AA;Method;Central Estimate;Lower Bound of Prevalence Estimate;Upper Bound of Prevalence Estimate;Central rate/1000 (15-64);Lower rate/1000 (15-64);Upper rate/1000 (15-64);Population (15-64);Bibliographic Reference;Target Population Definition;
Denmark;1996#;4a;CR;20465;18862;22067;5,78;5,33;6,23;3540427;1;Overall (including cannabis);
Denmark;1998;4a;CR;24430;22488;26374;6,88;6,33;7,43;3551315;1;Overall (including cannabis);
Denmark;2016;4a;CR;51830;39143;67107;14,65;11,06;18,96;3538672;4;Opioids, Cocaine, Stimulants other than cocaine, GHB/GBL, LSD, Ketamine, other hypnotics, other hallucinogens;
Denmark;2003;4a;CR;26358;24773;27944;7,38;6,94;7,83;3571083;6;Overall (including cannabis);
Denmark;2005;4a;CR;26979;25390;28568;7,53;7,09;7,98;3581058;6;Overall (including cannabis);
Denmark;2009;4a;CR;33074;31151;34997;9,12;8,59;9,65;3625818;4;Overall (including cannabis);
Denmark;2001;4a;CR;25410;23629;27191;7,13;6,63;7,63;3562176;1;Overall (including cannabis);
Estonia;;6;;;;;;;;;;;
Finland;1997#;26a;CR;11640;9400;14700;3,38;2,73;4,28;3420598;2;Problem opioid and amphetamines users, including ecstasy;
Finland;1998#;26a;CR;13600;11500;16400;3,96;3,35;4,78;3433511;2;Problem opioid and amphetamines users, including ecstasy;
Finland;1999#;26a;CR;12400;11100;14000;3,6;3,22;4,06;3444400;"3 ; 99";Problem opioid and amphetamines users, including ecstasy;
Finland;2017;26c;CR;36600;31100;44300;10,69;9,08;12,93;3425142;9;Amphetamine, Buprenorphine, Fentanyl Illicit, Heroin, Mdma And Derivates, Methadone, Methamphetamine, Other Opioids, Other Stimulants, Synthetic Cathinones.;
Finland;2002;26a;CR;18400;16100;21100;5,3;4,6;6,1;3480722;1;Problem opioid and amphetamines users, including ecstasy;
Finland;2005;26a;CR;16600;14500;19100;4,75;4,15;5,47;3491111;7;Problem opioid and amphetamines users, including ecstasy;
Finland;2012;26b;CR;20814;18360;30220;6,2;5,55;9;3359351;8;Heroin, Methadone, Buprenorphine, Fentanyl illicit, other opioids, Amphetamine,metamphetamine,MDMA and derivates,Synthetic cathinones, other stimulants.;
Finland;2001;26a;CR;;11100;14000;4,6;4,2;5;3467584;2;Problem opioid and amphetamines users, including ecstasy;
France;1999#;10b;MI;178000;;;4,67;;;38131287;2;;
France;1999#;10b;OT;146400;;;3,84;;;38131287;2;;
France;1999#*;10b;OT;146400;;;4,5;;;32534000;1;Heroin, cocaine;
France;1999#;10b;PM;;147900;182600;;3,88;4,79;38131287;2;;
France;1999#;10b;TM;180000;;;4,72;;;38131287;2;;
France;2006;10a;MI;264000;189000;338000;6,8;4,9;8,7;38787871;"7 ; 8";Opiates, cocaine or amphetamines;
France;2006;10a;TM;272000;209000;367000;7;5,4;9,5;38787871;"7 ; 8 ; 9";Opiates, cocaine or amphetamines;
France;2006;10a;PM;187000;144000;253000;4,8;3,7;6,5;38787871;"7 ; 8 ; 10";Opiates, cocaine or amphetamines;
France;2011;10a;MI;343000;274000;413000;8,4;6,7;10,1;40706352;"7;12;13";;
France;2011;10a;TM;299000;238000;360000;7,3;5,8;8,8;40706352;"7;12;13";"Last month use. Opioids, cocaine and crack, amphetamines; other stimulants; hallucinogenics; IV injection (individuals were asked for both prior month IVI and lifetime IVI)";
France;2011;10a;TM;222000;176000;267000;5,5;4,3;6,6;40706352;"7;12;13";Heroin, cocaine;
France;2013/2014;10c;CR;279000;201000;400000;6,86;4,95;9,84;40646499;2;Heroin,Methadone,Buprenorphine, Fentanyl illicit, other opioids, Cocaine,Crack cocaine, amphetamine;
France;2019;10c;CR;342355;336048;348662;8,55;8,4;8,71;40027641;2;Heroin,Methadone,Buprenorphine, Fentanyl illicit, other opioids, Cocaine,Crack cocaine, amphetamine;
France;1995#;10b;OT;176000;;;4,66;;;37736396;"99 ; 2";;
France;1995#;10b;PM;164000;;;4,35;;;37736396;"99 ; 2";;
France;1995#;10b;TM;156000;;;4,13;;;37736396;"99 ; 2";;
France;1999#*;10b;CM;164477;;;4,29;3,86;4,76;38319447;1;Opioids, cocaine;
Germany;1996#;5a;PM;;140843;165424;;2,52;2,96;55846564;"99 ; 12";;
Germany;1996#;5a;TM;;94350;140600;;1,69;2,52;55846564;"99 ; 12";Opioid, cocaine and amphetamines;
Germany;2000#;5e;MI;157482;;;2,82;;;55915209;"99 ; 12";;
Germany;2000#;5b;OT;;127800;160000;;2,29;2,89;55915209;"2 ; 6 ; 99";;
Germany;2000#;5c;PM;;152529;189954;;2,73;3,4;55915209;"3 ; 6 ; 7";;
Germany;2000#;5;TM;;166345;197534;;2,97;3,53;55915209;"3 ; 6 ; 7";;
Germany;2007#;5;TM;;136910;162581;;2,48;2,94;55208800;"25 ; 26";Opioid, cocaine and amphetamines;
Germany;2008#;5;TM;;207056;245879;;3,8;4,52;54417400;"28;29";;
Germany;2009#;5;TM;;204029;242285;;3,79;4,5;53877800;33,34;;
Germany;2010#;5;TM;;215078;255405;;3,99;4,73;53966200;"31;34;36";;
Germany;2011#;5;TM;;231052;274374;;4,28;5,08;54044000;"39;40;41";Heroin,Methadone,Buprenorphine, other opioids, Cocaine, Powder cocaine, Crack cocaine, amphetamine, methamphetamine, MDMA and derivates, other stimulants;
Germany;2012#;5;TM;;218360;259303;;4,03;4,79;54154000;"39;43;46;47";Heroin,Methadone,Buprenorphine, other opioids, Cocaine, Powder cocaine, Crack cocaine, amphetamine, methamphetamine, MDMA and derivates, other stimulants;
Germany;2013#;5;TM;;215436;255830;;4,08;4,84;52848000;"45;48;49";Heroin,Methadone,Buprenorphine, other opioids, Cocaine, Powder cocaine, Crack cocaine, amphetamine, methamphetamine, MDMA and derivates, other stimulants;
Germany;2014#;5;TM;;230672;273923;;4,31;5,12;53493837;"47;56; 57; 60";Heroin,Methadone,Buprenorphine, other opioids, Cocaine, Powder cocaine, Crack cocaine, amphetamine, methamphetamine, MDMA and derivates, other stimulants;
Germany;2015#;5;TM;;225471;267747;;4,18;4,96;53994300;"47; 64; 65; 66";Heroin,Methadone,Buprenorphine, other opioids, Cocaine, Powder cocaine, Crack cocaine, amphetamine, methamphetamine, MDMA and derivates, other stimulants;
Germany;2016#;5;TM;;225324;267572;;4,18;4,96;53963400;"47 ; 69;70;71";Heroin,Methadone,Buprenorphine, other opioids, Cocaine, Powder cocaine, Crack cocaine, amphetamine, methamphetamine, MDMA and derivates, other stimulants;
Germany;2017#;5;TM;;217220;257949;;4,03;4,78;53910900;"47 ; 69;70;71";Amphetamine, Buprenorphine, Cocaine, Crack Cocaine, Heroin, Mdma And Derivates, Methadone, Methamphetamine, Other Opioids, Other Stimulants, Powder Cocaine (Hcl).;
Germany;2018#;5;TM;;204906;243326;;3,81;4,52;53844866;"47 ; 69;70;71";Amphetamine, Buprenorphine, Cocaine, Crack Cocaine, Heroin, Mdma And Derivates, Methadone, Methamphetamine, Other Opioids, Other Stimulants, Powder Cocaine (Hcl).;
Greece;;8;;;;;;;;;;;
Hungary;2005#;17a;CR;24204;19333;29075;3,48;2,78;4,18;6932000;1;;
Ireland;1996#;7a;CR;;6308;13735;;2,69;5,86;2342670;"99 ; 2";;
Italy;1996#;12a;OT;239987;;;6,14;;;39099069;"99 ; 3";;
Italy;1996#;12a;PM;171531;;;4,39;;;39099069;"99 ; 3";;
Italy;1996#;12a;TM;298989;;;7,65;;;39099069;"99 ; 3";;
Italy;1999#;12a;CR;297711;;;7,62;;;39065503;"99 ; 3";;
Italy;1999#;12a;MI;302829;;;7,75;;;39065503;"99 ; 3";;
Italy;1999#;12a;PM;281273;;;7,2;;;39065503;"99 ; 3";;
Italy;1999#;12a;TM;276746;;;7,08;;;39065503;"99 ; 3";;
Italy;2000#;12a;CR;309850;;;7,95;;;38989709;"99 ; 3";;
Italy;2000#;12a;MI;319447;;;8,19;;;38989709;"99 ; 3";;
Italy;2000#;12a;TM;292196;;;7,49;;;38989709;"99 ; 3";;
Italy;2001#;12a;CR;268660;;;6,89;;;38974209;"99 ; 3";;
Italy;2001#;12a;MI;233075;;;5,98;;;38974209;"99 ; 3";;
Italy;2001#;12a;PM;251864;;;6,46;;;38974209;"99 ; 3";;
Italy;2001#;12a;TM;279820;;;7,18;;;38974209;"99 ; 3";;
Italy;2002;12a;CR;281844;273196;290789;7,25;7,03;7,48;38866788;1;;
Italy;2002;12a;MI;314002;303856;324442;8,08;7,82;8,35;38866788;1;;
Italy;2002;12a;PM;306653;296934;316674;7,89;7,64;8,15;38866788;1;;
Italy;2002;12a;TM;270096;261036;279509;6,95;6,72;7,19;38866788;1;;
Italy;2003;12a;CR;275698;267048;284590;7,2;6,98;7,44;38273123;2;;
Italy;2003;12a;MI;298892;289010;308977;7,81;7,55;8,07;38273123;2;;
Italy;2003;12a;TM;285838;276462;295464;7,47;7,22;7,72;38273123;2;;
Italy;2004;12a;CR;273903;264965;283147;7,1;6,87;7,34;38569414;13;;
Italy;2004;12a;MI;308098;298085;318417;7,99;7,73;8,26;38569414;13;;
Italy;2004;12a;MM;297282;287742;307134;7,71;7,46;7,96;38569414;13;;
Italy;2004;12a;TM;311814;302005;321936;8,08;7,83;8,35;38569414;13;;
Italy;2005;12a;CR;287721;278271;297474;7,4;7,2;7,7;38827322;18;;
Italy;2005;12a;MI;322998;312899;333401;8,3;8,1;8,6;38827322;18;;
Italy;2005;12a;MM;304104;294385;314132;7,8;7,6;8,1;38827322;18;;
Italy;2005;12a;TM;314520;234803;304539;8,1;7,8;8,4;38827322;18;;
Italy;2006&;12a;MI;328950;318359;341022;8,45;8,19;8,77;38875440;20;;
Italy;2007&;12a;MI;337187;315788;352457;8,64;8,09;9,03;39016635;25;;
Italy;2008;12a;TM;385000;375000;395000;9,8;9,5;10,1;;;;
Italy;2009;12a;TM;393490;382500;404500;9,95;9,68;10,23;39531202;3;Opioids,cocaine;
Italy;1996#;12a;CR;274000;;;7,01;;;39099069;"99 ; 3";;
Italy;1996#;12a;MI;248672;;;6,36;;;39099069;"99 ; 3";;
Latvia;2006?;14b;TM;;4794;9588;;3,1;6,2;1580414;4;;
Latvia;2002!#;14a;MM;1944;1521;2917;1,2;1;1,8;1591300;2;;
Latvia;2011;14c;TM;12974;10638;16499;9,37;7,68;11,92;1384503;3;;
Latvia;2010?;14c;TM;18888;15029;25234;13,33;10,6;17,8;1417452;3;;
Lithuania;;15;;;;;;;;;;;
Luxembourg;1999#;16a;CR;2327;1510;3926;8,1;5,26;13,67;287096;"99 ; 2";;
Luxembourg;1999#;16a;PM;;2350;2625;;8,19;9,14;287096;"99 ; 2";High-risk consumption problem drug users;
Luxembourg;2000#;16a;CM;;2132;2924;;7,33;10,05;291010;"99 ; 2";;
Luxembourg;2000#;16a;CR;;1801;3948;;6,19;13,57;291010;"99 ; 2";;
Luxembourg;2007;16b;OT;2470;2089;3199;7,7;6,5;9,9;322000;4;;
Luxembourg;2009;16b;OT;2070;1553;2623;6,16;4,63;7,81;335742;5;;
Luxembourg;2015;16c;CM;2257;;;5,79;;;389371;6;Heroin, Methadone, cocaine,Amphetamine;
Luxembourg;1999#;16a;CM;;1912;3133;;6,66;10,91;287096;"99 ; 2";;
Luxembourg;2018;16c;CM;2100;;;5,02;;;418675;6;Heroin, Methadone, cocaine,Amphetamine;
Luxembourg;1998#;16a;PM;;2020;2220;;7,11;7,82;284005;"99 ; 3";High-risk consumption problem drug users;
Luxembourg;1997#;16a;PM;2100;1900;2300;7,47;6,76;8,18;281107;"99 ; 1";;
Luxembourg;1996#;16a;PM;1800;;;6,47;;;278367;"99 ; 3";High-risk consumption problem drug users;
Luxembourg;1998#;16a;TM;;1900;2200;;6,69;7,75;284005;"99 ; 1";High-risk consumption problem drug users;
Malta;;18;;;;;;;;;;;
Netherlands;1996#;19b;TM;;25145;29104;;2,38;7,75;10585196;"99 ; 4";;
Netherlands;1998#;19b;PM;;25800;34300;;2,42;3,22;10661543;"99 ; 1";;
Netherlands;1999#;19b;MI;;27970;29256;;2,61;2,73;10713380;"1 ; 3 ; 99";;
Netherlands;1999#;19b;TM;;25970;30298;;2,42;2,83;10713380;"1 ; 3 ; 99";;
Netherlands;2001#;19a;CM;33499;23773;46466;3,1;2,2;4,3;10806000;22;Heroin, methadone, crack cocaine (as a secondary drug);
Netherlands;2001#;19b;MI;;29380;32989;;2,72;3,05;10806000;1;;
Netherlands;2001#;19c;MI;31720;21720;41819;2,94;2,01;3,87;10806000;24;Opioids,cocaine;
Netherlands;2001#;19;OT;33174;24638;41603;3,07;2,28;3,85;10806000;24;Opioids,cocaine;
Netherlands;2001#;19e;TM;;27924;32578;;2,58;3,01;10806000;1;;
Netherlands;2001#;19;TM;32418;25718;39118;3;2,38;3,62;10806000;24;Opioids,cocaine;
Norway;1997;30a;OT;Overall;12000;;;4,23;;2835512;"99 ; 2";;
Poland;2002!#;21a;OT;52000;33000;71000;1,94;1,23;2,65;26781037;"99 ; 1";;
Poland;2014;21a;CM;100109;72424;127794;3,73;2,7;4,76;26840404;11;;
Poland;2009!#;21a;OT;79500;56000;103000;2,93;2,06;3,79;27160149;9;Overall ( ICD-10: F11-F16, F18 and F19);
Poland;2005!#;21a;OT;112500;100000;125000;4,2;3,73;4,67;26778325;9;Overall ( ICD-10: F11-F16, F18 and F19);
Portugal;2012;22;CR;46534;41070;51940;7,1;6,27;7,93;6550263;7;Heroin,Methadone,  Buprenorphine, Fentanyl illicit, other opioids, Cocaine, Powder cocaine, Crack cocaine, stimulants other than cocaine, amphetamine, methamphetamine, MDMA and derivates, other stimulants;
Portugal;2005#;22c;OT;;30833;35576;;4,3;5;7115262;5;Opioids, cocaine and / or amphetamines.;
Portugal;2005#;22b;TM;;44653;53240;;6,2;7,4;7115262;5;Opioids, cocaine and / or amphetamines.;
Portugal;2000#;22a;PM;;47184;58980;;6,82;8,52;6920368;"99 ; 1";Opioids, cocaine and / or amphetamines.;
Portugal;2015;22e;CR;64687;48199;87531;10,12;7,54;13,7;6388939;"8 ; 9";Heroin,Methadone,  Buprenorphine, Fentanyl illicit, other opioids, Cocaine, Powder cocaine, Crack cocaine, stimulants other than cocaine, amphetamine, methamphetamine, MDMA and derivates, other stimulants;
Portugal;1999#;22a;PM;;49920;56150;;7,36;8,28;6778900;"99 ; 2";Heroin, Methadone, Buprenorphine, Fentanyl illicit, Other opioids, Cocaine, Powder cocaine (HCL), Crack cocaine , Stimulants other than cocaine, Amphetamine, Methamphetamine, MDMA and derivates, Synthetic cathinones, Other stimulants , Barbiturates misused, Benzodiazepines misused, GHB / GBL, Other hypnotics and sedatives misused , LSD, Ketamine, Other hallucinogens, Volatile inhalants, Cannabis, Synthetic cannabinoids, Other substances;
Romania;;23;;;;;;;;;;;
Slovakia;2007;25b;OT;17884;12794;34828;4,71;3,36;9,2;3891783;6;;
Slovakia;2006;25b;OT;18917;13787;34481;4,9;3,6;8,9;3870796;5;Heroin,amphetamines;
Slovakia;2005;25b;OT;18393;13565;32182;4,8;3,5;8,3;3862234;"3 ; 4";Heroin,amphetamines;
Slovakia;2002#;25a;MI;20437;;;6,1;;;3349231;1;;
Slovakia;2008;25b;OT;10519;8182;33489;2,68;2,09;8,54;3921880;7;;
Slovenia;2004;24a;CR;10654;9078;12593;7,78;6,63;9,2;1369489;1;;
Slovenia;2000#;24a;CR;7535;;;5,44;;;1384546;1;;
Slovenia;2001#;24a;CR;7399;;;5,3;;;1397039;1;;
Spain;2002#;9a;OT;;233827;275789;;8,37;9,87;27950634;3;Opioids, cocaine;
Spain;2002#;9a;OT;;196928;269748;;7,05;9,65;27950634;3;Opioids, cocaine;
Spain;2001#;9a;OT;;182775;219987;;6,54;7,87;27950634;3;Opioids, cocaine;
Spain;2001#;9a;OT;;144771;232220;;5,18;8,31;27950634;3;Opioids, cocaine;
Spain;2000#;9a;OT;;182498;214152;;6,72;7,89;27157975;"99 ; 3";;
Spain;2000#;9a;OT;;141224;229973;;5,05;8,23;27157975;3;Opioids, cocaine;
Sweden;1992#;27c;CR;18500;16600;20000;3,34;3;3,61;5535247;"99 ; 1";Amphetamine;
Sweden;2001#;27a;OT;27640;;;4,8;;;5756789;2;;
Sweden;2002#;27a;OT;27296;;;4,7;;;5795068;10;;
Sweden;2003#;27a;OT;25745;;;4,5;;;5756789;10;;
Sweden;2007!#;27b;TP;29513;;;4,89;;;6032781;"16 ;17";Overall (injecting or daily or almost daily use last 12 months);
Turkey;;29;;;;;;;;;;;
United Kingdom;1996#;28b;MI;268253;;;7,25;;;37007584;1;;
United Kingdom;1996#;28b;OT;;162544;251000;;4,39;6,78;37007584;1;;
United Kingdom;1996#;28b;TM;243820;;;6,59;;;37007584;1;;
United Kingdom;2001#;28c;CM;360811;;;9,35;8,99;9,79;38593141;5;;
United Kingdom;2004;28a;OT;398845;397033;421012;10,15;10,11;10,72;39283066;;Opioids, crack cocaine;
United Kingdom;2009-12;28a, 28b;CM;371279;364418;388306;9,16;8,99;9,58;40518463;"28;30;33";"Opioid/crack cocaine use in England for 2011/12; opioids and/or benzodiazepine use in Scotland for 2009/10 and for long duration or regular use of opioids and/or cocaine in Wales 2009/10. Excludes Northern Ireland.";
United Kingdom;2003-07;28a;CM;400469;393247;417861;9,97;9,79;10,4;40161900;"26 ; 22 ; 27";;
United Kingdom;2004-07;28a;CM;404884;396267;431120;10,1;9,88;10,75;40104690;"24 ; 19 ; 26 ; 27";Includes benzodiazepine use in Scotland;
United Kingdom;2004-09;28a;CM;397346;387536;419949;9,79;9,55;10,35;40580190;"24; 26; 28; 29";"Based on estimates of opiates and/or crack cocaine use in England for 2008/09; opiate use in Northern Ireland for 2004; opiates and benzodiazepine use in Scotland for 2006; and for long duration or regular use of opiates and/or cocaine (crack cocaine and/or cocaine powder) in Wales in 2006/07.";
United Kingdom;2004-10;28a;CM;383534;372560;406406;9,38;9,11;9,94;40890655;"24;28; 29;30";"Based on estimates of opiate use in Northern Irealnd for 2004; opiates and/or benzodiazepines use in Scotland for 2009/10; opiate and/or crack cocaine use in England for 2009/10 and for long duration or regular use of opiates and/or cocaine in Wales for 2009/10";
United Kingdom;2004-11;28a;CM;379244;370101;3961112;9,25;9,03;9,67;41358700;"24;28;29;30";"Opiate use in Northern Ireland for 2004; opiates and/or benzodiazepines use in Scotland for 2009/10; opiate and/or crack cocaine use in England for 2010/11; and for long duration or regular use of opiates and/or cocaine in Wales for 2009/10";
United Kingdom;2005;28a;OT;403547;395378;423907;10,19;9,98;10,7;39608066;;Opioids, crack cocaine;
;;;;;;;;;;;;;
